session_id,location_name,genre,time_of_day,weather,crowd_level,month,session_rating
1,Ha'penny Bridge,portrait,golden_hour,rain,2,4,5.0
2,Phoenix Park,portrait,blue_hour,sunny,5,7,4.6
3,Poolbeg Lighthouse,portrait,golden_hour,sunny,5,4,6.4
4,Howth Cliffs,architecture,golden_hour,rain,1,3,6.5
5,Temple Bar,landscape,golden_hour,overcast,3,2,6.0
6,Grand Canal Dock,portrait,golden_hour,rain,5,5,5.1
7,St Stephen's Green,architecture,midday,fog,1,9,3.7
8,Trinity College,landscape,midday,sunny,1,11,4.6
9,Dun Laoghaire Pier,landscape,night,overcast,1,7,5.2
10,Killiney Hill,landscape,golden_hour,rain,2,11,5.2
11,Portobello,portrait,midday,overcast,5,12,3.0
12,Smithfield,architecture,midday,overcast,3,1,2.8
13,Great South Wall,portrait,blue_hour,fog,3,2,5.7
14,Iveagh Gardens,landscape,golden_hour,fog,4,11,6.7
15,Dollymount Strand,landscape,golden_hour,rain,5,7,5.3
16,Ha'penny Bridge,architecture,golden_hour,overcast,5,8,5.2
17,Phoenix Park,portrait,blue_hour,overcast,2,11,7.5
18,Poolbeg Lighthouse,portrait,midday,fog,5,5,3.4
19,Howth Cliffs,portrait,blue_hour,sunny,5,5,6.0
20,Temple Bar,landscape,golden_hour,fog,2,8,6.6
21,Grand Canal Dock,landscape,night,overcast,5,2,4.7
22,St Stephen's Green,landscape,blue_hour,overcast,2,6,7.2
23,Trinity College,portrait,midday,fog,1,2,5.0
24,Dun Laoghaire Pier,landscape,golden_hour,overcast,5,2,5.2
25,Killiney Hill,architecture,blue_hour,overcast,2,11,6.7
26,Portobello,street,golden_hour,fog,2,9,7.7
27,Smithfield,street,blue_hour,fog,3,8,7.1
28,Great South Wall,architecture,golden_hour,overcast,1,6,6.6
29,Iveagh Gardens,street,midday,sunny,1,12,4.4
30,Dollymount Strand,street,golden_hour,sunny,3,2,6.8
31,Ha'penny Bridge,landscape,blue_hour,overcast,5,3,5.9
32,Phoenix Park,architecture,golden_hour,fog,4,4,5.6
33,Poolbeg Lighthouse,architecture,golden_hour,fog,4,12,5.5
34,Howth Cliffs,portrait,golden_hour,rain,1,4,5.5
35,Temple Bar,architecture,golden_hour,overcast,3,8,6.3
36,Grand Canal Dock,portrait,midday,sunny,1,11,5.1
37,St Stephen's Green,portrait,night,overcast,2,7,6.2
38,Trinity College,street,blue_hour,sunny,2,7,5.7
39,Dun Laoghaire Pier,architecture,golden_hour,fog,3,7,7.2
40,Killiney Hill,architecture,golden_hour,rain,2,1,5.9
41,Portobello,portrait,blue_hour,sunny,1,10,7.1
42,Smithfield,street,golden_hour,sunny,2,2,7.4
43,Great South Wall,street,midday,overcast,5,10,1.6
44,Iveagh Gardens,portrait,midday,rain,3,4,2.1
45,Dollymount Strand,landscape,golden_hour,fog,2,11,7.9
46,Ha'penny Bridge,architecture,golden_hour,sunny,1,8,7.8
47,Phoenix Park,portrait,golden_hour,overcast,5,5,6.3
48,Poolbeg Lighthouse,landscape,night,overcast,3,5,4.1
49,Howth Cliffs,landscape,midday,sunny,5,5,4.4
50,Temple Bar,portrait,night,overcast,3,2,6.6
51,Grand Canal Dock,street,golden_hour,overcast,3,4,7.2
52,St Stephen's Green,landscape,midday,rain,1,2,2.9
53,Trinity College,landscape,golden_hour,rain,2,11,6.7
54,Dun Laoghaire Pier,street,blue_hour,fog,5,1,4.7
55,Killiney Hill,street,midday,rain,5,9,1.0
56,Portobello,street,golden_hour,rain,1,6,5.5
57,Smithfield,street,blue_hour,rain,5,7,4.9
58,Great South Wall,street,night,overcast,2,3,6.0
59,Iveagh Gardens,portrait,golden_hour,rain,4,11,5.6
60,Dollymount Strand,street,golden_hour,sunny,4,1,7.1
61,Ha'penny Bridge,street,golden_hour,fog,3,5,7.4
